,,,,,,,,,,,,,delivery,,,,eval points,,,,,
6f17eb93-8047-4a24-b417-eda8b8de35f3,,,,,,,,,can list common comparison operators and what they do,knowledge,core,,,,,,,,,,,
96daf2a9-9a12-469d-826e-3ac4e3c3c1ea,,,,,,,,,can use common comparison operators,skill,core,,0,0,1,,0,1,,1,0,
bcf79bff-23fa-4575-805e-ae204ac5832b,,,,,,,,,can explain how comparison operators work with different types,knowledge,core,,,,,,,,,,,
6ca3f3d2-e709-4c61-ac36-1fe15499dc99,,,,,,,,,equal vs. identical,knowledge,core,,1,1,0,,1,0,,0,1,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,type coercion,,,,,,,,,,,,,,
4c29359f-699f-4ba0-a8e0-0715966f8a53,,,,,,,,"can explain what ""type coercion"" is",,,,,0,0,0,,0,0,,0,0,
5f78ff0a-8b11-44b3-ba62-d389114a678a,,,,,,,,can explain how type coercion operates in their language,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
7d090658-1502-42f3-850c-079f949b445a,,,,,,basic data structures: arrays and maps,,,,,,,0,0,0,,0,0,,0,0,
d7064a20-9d02-4619-847a-eae94b9d7d3d,,,,,,"can explain difference between basic data structures (Array, Map)",,,,skill,core,,0,0,1,,0,1,,1,0,
16302848-d509-4a3c-a862-e5751c8f88b8,,,,,,can use Arrays and Maps to solve problems,,,,skill,core,,0,0,1,,0,1,,1,0,
805b2a19-ef74-40bb-9f00-31aaef623296,,,,,,uses Arrays and Maps appropriately to solve problems,,,,habit,core,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
23399c49-536f-4d05-b852-c3f45f7a03b8,,,,,,,arrays,,,,,,0,0,0,,0,0,,0,0,
b66b6d8f-d177-4ce8-b596-ab2707f3824b,,,,,,,"can explain what an ""array"" is and what it is used for",,,knowledge,core,,,,,,,,,,,
1eead456-775c-439e-8c3f-91b63e48e6f9,,,,,,,can give examples of when an array would be used,,,knowledge,core,,1,1,0,,1,0,,0,1,
50cdd7bb-2c1a-447a-ae88-cb84e83a417a,,,,,,,"can list available array manipulation function and their purpose (ex. join, push)",,,knowledge,core,,1,1,0,,1,0,,0,1,
06f95f4e-8168-4faa-b618-874400c562e4,,,,,,,"can explain what is meant by ""zero-indexing""",,,knowledge,core,,,,,,,,,,,
d48903f3-0395-4a88-957d-fc4f9ea274a3,,,,,,,can create an array,,,skill,core,,0,0,1,,0,1,,1,0,
229161fc-5ed7-4e21-97ac-092e6beb4c08,,,,,,,can reason about zero-indexing and avoid off-by-one-errors,,,skill,core,,0,0,1,,0,1,,1,0,
c0029c2f-6ae8-4f89-a12a-fb4344af4816,,,,,,,can get the length of an array,,,skill,core,,,,,,,,,,,
ad2ef026-74ca-4bae-8d7e-3e8a3d2a50b2,,,,,,,can add an element to the end of an array (push),,,skill,core,,0,0,1,,0,1,,1,0,
95c727ba-833d-4fcd-a2f3-3a445a733e18,,,,,,,can access the first element in an array,,,skill,core,,,,,,,,,,,
091e4cdd-3216-45cf-993e-18cb957691cd,,,,,,,can access the last element in an array,,,skill,core,,,,,,,,,,,
5128eee5-370e-494c-805a-e17500ba8032,,,,,,,can access an element in an array by index ([]),,,skill,core,,0,0,1,,0,1,,1,0,
72efc9fa-58db-4a7f-8b63-150a85e726c8,,,,,,,can access an element in a multidimensional array,,,skill,core,,0,0,1,,0,1,,1,0,
fd6096ee-9ef9-49cc-89bd-0a62d1ad7311,,,,,,,can check if an element is in an array (find),,,skill,core,,0,0,1,,0,1,,1,0,
01152790-06c3-45b4-bd65-bfd260830ea2,,,,,,,can return a subset of an array by index (slice),,,skill,core,,0,0,1,,0,1,,1,0,
f3a5131b-ac89-47c3-8873-d43480288400,,,,,,,can filter an array to only contain certain values (filter),,,skill,core,,0,0,1,,0,1,,1,0,
914236ee-8639-4202-a79d-d2ab1336e08b,,,,,,,pop,,,skill,core,,0,0,1,,0,1,,1,0,
462b360f-df29-4487-9de1-2cfb7dd7ac5e,,,,,,,each,,,skill,core,,0,0,1,,0,1,,1,0,
db1fb07a-b361-4d59-a072-7e83e1b94e63,,,,,,,map,,,skill,core,,0,0,1,,0,1,,1,0,
020f5382-05f3-4a91-9e6d-d653827ca4df,,,,,,,reduce,,,skill,core,,0,0,1,,0,1,,1,0,
7e000001-0ccf-432b-93e3-366edf5c459f,,,,,,,select,,,skill,core,,0,0,1,,0,1,,1,0,
f0eaa8d2-51de-4632-85a2-c73dbd8ab478,,,,,,,join,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
7cc3f5de-17f0-4062-b57c-eabeecb918d0,,,,,,,maps (aka objects/hashes/dictionaries),,,,,,0,0,0,,0,0,,0,0,
5c13998e-43bc-4590-ba30-1ca1d6118cb4,,,,,,,"can explain what a ""map"" is and what it is used for",,,,,,,,,,,,,,,
7dc38d7d-e140-41b8-acd9-946fb74c21e6,,,,,,,can give examples of when an map would be used,,,knowledge,core,,1,1,0,,1,0,,0,1,
3abe17e9-41c9-485a-bcad-39f49ed86a8a,,,,,,,can create a map,,,skill,core,,0,0,1,,0,1,,1,0,
eb5c730b-5ef1-4e7a-8428-fa7f32f99f35,,,,,,,can access an element in a map,,,skill,core,,0,0,1,,0,1,,1,0,
9d6cf701-49f3-495c-bbb0-fdbdbb135b5e,,,,,,,can access an element in a nested map,,,skill,core,,0,0,1,,0,1,,1,0,
8b8f75c2-f641-48d4-8fb6-8f0f3d3c30c3,,,,,,,can add an element to an existing map,,,skill,core,,,,,,,,,,,
cc7863b4-f754-43de-a108-f4f685aec962,,,,,,,can delete an element from an existing map,,,skill,core,,,,,,,,,,,
c1b8ba8d-1db4-4c6c-a08b-83637bb24191,,,,,,,can check if a map contains a certain key,,,skill,core,,,,,,,,,,,
a8cfaf2a-af74-4a38-bd65-ba82853a09c3,,,,,,,can explain why keywords are preferred for map keys vs. strings,,,knowledge,core,,1,1,0,,1,0,,0,1,
40999c60-b643-4200-b87e-a2fb0c854b02,,,,,,,uses keywords for map keys,,,habit,core,,0,0,0,,0,1,,1,0,
d117c9c5-44bf-4b65-8a93-29b0d4fda4b5,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
6e5c1976-5fe9-47f4-8370-9794229d3b1b,,,,,,flow control,,,,,,,0,0,0,,0,0,,0,0,
c1ca5432-9310-4887-954e-1e11ef2c5541,,,,,,TODO,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
e597308b-445e-4dac-8192-c73a01f993a5,,,,,,,conditionals,,,,,,0,0,0,,0,0,,0,0,
7ff2e2a2-8bb1-491b-b145-8ea74b41517e,,,,,,,"can explain what ""conditionals"" are and why they are used",,,knowledge,core,,,,,,,,,,,
04535b03-7eab-4ceb-9599-6ca275150693,,,,,,,can explain what is meant by truthy and falsey vs true and false,,,knowledge,core,,1,1,0,,1,0,,0,1,
b2fdb583-67de-4565-aaf7-ab10a397809b,,,,,,,can identify what is considered truthy and falsey in their language,,,knowledge,core,,1,1,0,,1,0,,0,1,
1afe50f6-1d8a-4169-b6d6-c26bb5d749c7,,,,,,,understands how if/else-if/else works,,,knowledge,core,,,,,,,,,,,
68766b84-eb9a-44ab-87a9-29207ec8f60e,,,,,,,can conditionally execute code using if/elseif/else,,,skill,core,,0,0,1,,0,1,,1,0,
b9d33544-cf2f-4b9a-bd34-91a3f94658e0,,,,,,,can use a ternary operator,,,skill,core,,0,0,1,,0,1,,1,0,
ef017e9e-70e1-4a67-9c43-ee7dad369caa,,,,,,,can create conditional statements combining multiple logical and comparison operators,,,skill,core,,0,0,1,,0,1,,1,0,
ab5735d3-ff02-487c-962d-b42bb81cebc1,,,,,,,case/switch,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
2cd64b80-e9c3-4cfc-9466-0c24e52ea9a0,,,,,,,loops,,,,,,0,0,0,,0,0,,0,0,
c213a8b7-d6b5-43fe-b929-4ff3d650922e,,,,,,,"can explain ""loops"" and why they are used",,,knowledge,core,,,,,,,,,,,
5e7abeea-b9fb-4846-85c6-2c3046118bc1,,,,,,,can list various loops and when each should be used,,,knowledge,core,,,,,,,,,,,
87699982-81bf-4336-ac6f-49ef60de578c,,,,,,,uses the appropriate loop for each situation,,,habit,core,,0,0,0,,0,1,,1,0,
33c356ad-06d5-418e-88a4-6ebf43b01388,,,,,,,can break out of a loop,,,skill,core,,,,,,,,,,,
bfde751b-3e27-401f-af20-7e2d4401c167,,,,,,,"can explain implication of using ""return"" within each type of looping construct",,,knowledge,core,,1,1,0,,1,0,,0,1,
2438a095-c7fc-4ed7-82e8-dd7fae60ad77,,,,,,,"can explain what is meant by ""infinite loop""",,,knowledge,core,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
270c903c-e92b-4f09-babc-7a6296202e40,,,,,,,,for,,,,,0,0,0,,0,0,,0,0,
789a1453-24cf-4195-843c-60eb8d07eb92,,,,,,,,can explain the syntax of a for loop,,knowledge,core,,,,,,,,,,,
7a9982bc-74d2-403f-88b6-31e35db4573c,,,,,,,,can use for loops,,skill,core,,,,,,,,,,,
20c81186-140f-4cd4-85ea-880e12c7c465,,,,,,,,can use a for loop to iterate through values in an array ,,skill,core,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,while and do,,,,,,,,,,,,,,
65830b83-8253-46f6-9397-eb5910c77079,,,,,,,,can explain the syntax of a while loop,,knowledge,core,,,,,,,,,,,
0d261845-b437-42d9-8e07-8e0971365911,,,,,,,,can explain the syntax of a do loop,,knowledge,core,,,,,,,,,,,
497e92d5-b06e-405e-be22-a5f34d1a060d,,,,,,,,can use a while loop,,skill,core,,,,,,,,,,,
1000753a-07ee-446c-b7c8-90d831a4d2dd,,,,,,,,can use a do loop,,skill,core,,,,,,,,,,,
97a16068-26c6-4bc0-b7a0-72fd9ae3deb6,,,,,,,,can explain the difference between a while loop and a do loop,,knowledge,core,,,,,,,,,,,
f7959ba8-29c8-48c9-9604-4b2e0563e04b,,,,,,,,"can explain why a ""while true"" loop could be useful",,knowledge,core,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ffc7eaf8-a41e-4b4b-8c7d-0af3d5f260fa,,,,,,,,each,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,TODO,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
da038dc6-6cb3-4fb0-818b-22032e52c6ec,,,,,,IO,,,,,,,0,0,0,,0,0,,0,0,
8599cc9a-82f8-4d7f-850f-0b804d5735bd,,,,,,can handle arguments passed-in via commandline,,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
ea5c767e-22d4-4726-8394-5e33bdad95cb,,,,,,,directories,,,,,,0,0,0,,0,0,,0,0,
1e3496af-dd77-4b51-96ac-ac5d8fb1e222,,,,,,,create a directory,,,,,,0,0,0,,0,0,,0,0,
db0951c8-27d2-40cb-8227-02dde7a6277a,,,,,,,list files in a directory,,,,,,0,0,0,,0,0,,0,0,
46f12b8a-5df9-4ab2-b700-f13c7bf6fc75,,,,,,,delete a directory,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
376be315-58bb-41a1-9b95-bb4582ca501b,,,,,,,files,,,,,,0,0,0,,0,0,,0,0,
1edf0ee7-31da-4475-b214-1740140abe95,,,,,,,create a file,,,,,,0,0,0,,0,0,,0,0,
96478d83-596b-4464-b22f-231a05fa44d0,,,,,,,read from file,,,,,,0,0,0,,0,0,,0,0,
35c53006-2d84-4234-a811-3d1f342343e9,,,,,,,write to a file,,,,,,0,0,0,,0,0,,0,0,
3d77f567-202c-499b-8d04-974084b93098,,,,,,,delete a file,,,,,,0,0,0,,0,0,,0,0,
f07e0156-bf34-49b1-9f3f-e492927e141f,,,,,,,append to a file,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
c007361a-6167-4ce8-8813-a4964639f754,,,,,,,,encoding,,,,,0,0,0,,0,0,,0,0,
21919e9f-57de-4819-a68b-9f0ae1517caf,,,,,,,,can explain the difference between binary and text encoding,,knowledge,ideal,,1,0,0,,0,0,,0,0,
f7c449b2-790b-413f-b36f-37514d09bfa8,,,,,,,,"can list common text encoding types (ASCII, UTF-8, UTF-16)",,knowledge,ideal,,1,0,0,,0,0,,0,0,
c1f20c69-c961-4eca-8b42-9c15617dbc62,,,,,,,,can explain why specifying the encoding is necessary when reading or writing files,,knowledge,core,,1,1,0,,1,0,,0,1,
f686a93d-ea60-4733-b21e-aa14d8a81944,,,,,,,,specifies an encoding when reading or writing files,,habit,core,,0,0,0,,0,1,,1,0,
3d3de3ce-4e1b-481e-92aa-ddc391f47bb4,,,,,,,,TODO,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
59281f0f-8ffc-4fd7-bca7-e04aafcc72f2,,,,,,,streams,,,,,,0,0,0,,0,0,,0,0,
a3a395b4-47a1-4ad9-91dd-8ce0e4aea828,,,,,,,can explain what a stream is and when they are used,,,knowledge,core,,1,1,0,,1,0,,0,1,
8eb1905c-0d40-43de-9932-71fc85c22aaa,,,,,,,can read data from input stream,,,skill,core,,0,0,1,,0,1,,1,0,
879100db-f146-48ad-89f6-492b9eae6d69,,,,,,,can write data to output stream,,,skill,core,,0,0,1,,0,1,,1,0,
690fb861-15f9-4e12-b5f6-61729e62bf83,,,,,,,can pipe data from an input stream to an output stream,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
5f6df31f-63b9-4da2-bc40-d01e4e896461,,,,,,errors,,,,,,,0,0,0,,0,0,,0,0,
5ac926a3-774f-4c99-a827-f540720c7241,,,,,,can explain what errors are (vs. bugs) and why they are used,,,,knowledge,core,,1,1,0,,1,0,,0,1,
bfa4df41-dc44-472e-86fd-353a593bade2,,,,,,catch,,,,,,,0,0,0,,0,0,,0,0,
38bb5f8b-7382-431c-9140-6a1bda2abf5b,,,,,,define custom,,,,,,,0,0,0,,0,0,,0,0,
ce6bf977-8e11-40a0-9cf0-8543ea136e87,,,,,,throw,,,,,,,0,0,0,,0,0,,0,0,
0fd3e22c-9328-403c-85a7-b56c09a96bae,,,,,,can list common types of errors and what causes them to occur,,,,knowledge,core,,1,1,0,,1,0,,0,1,
07712361-9147-4a93-8151-ae073d7be947,,,,,,can explain why creating custom errors is a good practise,,,,knowledge,core,,1,1,0,,1,0,,0,1,
0b645ed6-0064-4e0e-b66a-1282e26ba5fd,,,,,,can create and catch custom errors,,,,skill,core,,0,0,1,,0,1,,1,0,
14307b2e-6726-4542-9ccb-0e0f54356044,,,,,,creates and uses custom errors in their code,,,,habit,ideal,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
9e9ffdfc-6e8c-4852-9847-ce6c99266bcd,,,,,,dates and times,,,,,,,0,0,0,,0,0,,0,0,
1989cc5a-40e5-47c0-991e-116090612988,,,,,,unix timestamps,,,,,,,0,0,0,,0,0,,0,0,
1670de64-83a0-4012-bd46-68cc2f60ee3e,,,,,,comparison,,,,,,,0,0,0,,0,0,,0,0,
d6c769ec-8066-4326-b27c-d77b1ea59e08,,,,,,arithmetic,,,,,,,0,0,0,,0,0,,0,0,
1747a21e-6e46-4986-b28c-5b6a84f75d79,,,,,,conversion,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
51cd4fd3-4ec5-4d69-9181-f7846677f3b4,,,,,,random,,,,,,,0,0,0,,0,0,,0,0,
47f76c1d-98c2-4304-afd3-be9e48ceedbf,,,,,,can generate a random number between 0 and 1,,,,skill,core,,0,0,1,,0,1,,1,0,
a2c6f431-a3cf-46cf-b983-6455bc09a45b,,,,,,can generate a random integer between given bounds (ex. 10 and 30),,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
dd177130-dd0f-4658-b310-6f2d64838723,,,,,structured programming,,,,,,,,0,0,0,,0,0,,0,0,
7882f7c9-c988-41b8-9d36-7dd8cc1a0a27,,,,,TODO,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
20a2df9c-7bb0-42d4-a913-23954d6608e8,,,,,,modules  / require,,,,,,,0,0,0,,0,0,,0,0,
1f2b76e5-c189-432d-9db4-f6bed0d9c6f2,,,,,,can explain benefits of seperating code into multiple modules,,,,knowledge,core,,1,1,0,,1,0,,0,1,
0d1eff42-696b-4a14-852a-6b728604af69,,,,,,can write modules and require them from other files,,,,skill,core,,0,0,1,,0,1,,1,0,
afc3726c-0b8a-4ea7-9598-4838d32bc34a,,,,,,splits code appropriately into multiple modules,,,,habit,core,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
57efa3fc-94fd-483c-b561-7d150b1e03ac,,,,,,namespacing,,,,,,,0,0,0,,0,0,,0,0,
8c9ae841-f3df-48b5-aa17-b7e50dfd8b29,,,,,,explain what is meant by namespacing in programming languages and why it is useful,,,,knowledge,core,,1,1,0,,1,0,,0,1,
c1976b97-8729-4f82-80c4-cfe389872282,,,,,,TODO,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
091db721-4f09-401e-8b22-aa36e2772298,,,,,,libraries,,,,,,,0,0,0,,0,0,,0,0,
95850eec-0a80-4908-b2c2-d4e447c902d7,,,,,,can explain what a library is and why they are used,,,,knowledge,core,,1,1,0,,1,0,,0,1,
71874bd8-3812-416f-9a07-8e9fc74c756b,,,,,,can explain the difference between libraries and modules,,,,knowledge,core,,1,1,0,,1,0,,0,1,
424d439d-2795-422c-8281-f3833a0cddd7,,,,,,can make use of a library,,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
29878d46-2595-4ff6-852d-61efee87a4cf,,,,,procedural programming,,,,,,,,0,0,0,,0,0,,0,0,
31a38987-9fe5-44eb-8b0e-2aab89f8ace6,,,,,TODO,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
d4d65586-de6e-4c50-beb7-c40fba5f3cad,,,,,,procedures / named functions,,,,,,,0,0,0,,0,0,,0,0,
